Id	Title	UserCreated	URL	CategoryParent	Category	DocumentType	Institution	CreateDate	ValidTo
972	Единна национална стратегия за повишаване на събираемостта на приходите, справяне със сенчестата икономика и намаляване на разходите за спазване на законодателството 2015-2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/972	Национални	Финанси и данъчна политика	Решение	Министерския съвет	30.10.2015	31.12.2017
971	Национална стратегия за превенция и борба с нередностите и измамите, засягащи финансовите интереси на Европейския съюз за периода 2014 – 2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/971	Национални	Правосъдие и вътрешни работи	Протокол	Министерския съвет	07.10.2015	31.12.2020
970	Национална програма за действие за устойчиво управление на земите и борба с опустиняването в Република  България (актуализация за програмен период 2014-2020 г.)	Искрен Иванов	https://localhost:44300/StrategicDocument/View/970	Национални	Околна среда	Протокол	Министерския съвет	05.10.2015	31.12.2020
969	Стратегия за развитие на пътната инфраструктура в Република България 2016 - 2022 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/969	Национални	Транспорт	Решение	Министерския съвет	01.10.2015	31.12.2015
968	Национална стратегия за развитие на минната индустрия	Искрен Иванов	https://localhost:44300/StrategicDocument/View/968	Национални	Енергетика	Решение	Министерския съвет	01.10.2015	Не е указан срок
967	План за действие на Република България за прилагане на Конвенцията за правата на хората с увреждания (2015–2020)	Искрен Иванов	https://localhost:44300/StrategicDocument/View/967	Национални	Социална политика и заетост	Решение	Министерския съвет	12.09.2015	31.12.2020
966	Национална програма за противодействие и предотвратяване на трафика на хора и закрила на жертвите за 2015 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/966	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	12.09.2015	31.12.2015
964	Националната програма за превенция и ограничаване на свлачищата на територията на Република България, ерозията и абразията по Дунавското и Черноморското крайбрежие 2015-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/964	Национални	Регионална политика	Протокол	Министерския съвет	09.07.2015	31.12.2020
963	Национална стратегия в областта на миграцията, убежището и интеграцията 2015-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/963	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	09.07.2015	31.12.2020
962	Стратегията за развитие на висшето образование в Република България за периода 2014 – 2020 г.	Росица Янчева	https://localhost:44300/StrategicDocument/View/962	Национални	Образование	Решение	Народното събрание	09.06.2015	31.12.2020
961	Национална стратегия за борба срещу употребата на допинг в спорта (2015-2024 г.)	Искрен Иванов	https://localhost:44300/StrategicDocument/View/961	Национални	Спорт	Решение	Министерския съвет	04.06.2015	31.12.2024
960	Трети План за действие за намаляване на административната тежест за бизнеса от избрано законодателство с 30 на сто за периода 2015-2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/960	Национални	Бизнес среда	Протокол	Министерския съвет	04.06.2015	31.12.2017
959	Национална програма за превенция и защита от домашно насилие за 2015 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/959	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	05.05.2015	31.12.2015
